,model,design_ix,enzyme,fold-change,nra_sol
164,"3191,42",15,EU_ICDHxm,0.04463787621732562,0.1390685911997841
165,"3191,42",16,EU_TAL,0.6931471805599453,0.057486096492439714
166,"3191,42",16,ED_CSm,0.001,0.057486096492439714
167,"3191,42",16,ED_SUCD2_u6m,0.013148906835003166,0.057486096492439714
168,"3191,42",17,EU_TAL,0.6931471805599453,0.12985692594613282
169,"3191,42",17,ED_PGM,0.28116991010905756,0.12985692594613282
170,"3191,42",17,ED_PYRDC,0.15603251348321354,0.12985692594613282
171,"3191,42",18,EU_HEX1,0.06842874246406992,0.09853406226473298
172,"3191,42",18,EU_TAL,0.6931471805599453,0.09853406226473298
173,"3191,42",18,EU_ASPTA,0.001,0.09853406226473298
174,"3191,42",19,EU_TAL,0.6931471805599453,0.09853406226473316
175,"3191,42",19,EU_ASPTA,0.001,0.09853406226473316
176,"3191,42",19,EU_r_4235,0.3376555053458672,0.09853406226473316
177,"3191,42",20,EU_TAL,0.6931471805599453,0.07053467447078261
178,"3191,42",20,EU_ASPTA,0.001,0.07053467447078261
179,"3191,42",20,EU_PGI,0.08645338146901214,0.07053467447078261
180,"3191,42",21,EU_DHQS,0.6931471805599453,0.11023017734367808
181,"3191,42",21,EU_CHORM,0.49659918748356946,0.11023017734367808
182,"3191,42",21,ED_PGK,0.15209309687694392,0.11023017734367808
183,"3191,42",22,EU_DHQS,0.6931471805599453,0.08917959470145383
184,"3191,42",22,EU_CHORM,0.45571111014256827,0.08917959470145383
185,"3191,42",22,ED_PPA,0.005529789943521213,0.08917959470145383
186,"3191,42",23,EU_DHQS,0.6931471805599453,0.08859172347590769
187,"3191,42",23,EU_CHORM,0.4554859833303624,0.08859172347590769
188,"3191,42",23,ED_ICDHym,0.016268732765075736,0.08859172347590769
189,"3191,42",24,EU_DHQS,0.6931471805599453,0.08975543102219823
190,"3191,42",24,EU_CHORM,0.4549823617951744,0.08975543102219823
191,"3191,42",24,EU_ICDHxm,0.011079799926230776,0.08975543102219823
192,"3191,42",25,EU_DHQS,0.6931471805599453,0.08909689787809678
193,"3191,42",25,EU_CHORM,0.45619689441704514,0.08909689787809678
194,"3191,42",25,EU_ME1m,0.029180015620048468,0.08909689787809678
195,"3191,42",26,EU_DHQS,0.6931471805599453,0.08903794999216544
196,"3191,42",26,EU_CHORM,0.4551353322544351,0.08903794999216544
197,"3191,42",26,ED_CPR,0.02718708020142154,0.08903794999216544
198,"3191,42",27,EU_DHQTi,0.4135755080638252,0.06159287744967338
199,"3191,42",27,EU_DHQS,0.001000000000000676,0.06159287744967338
200,"3191,42",27,ED_PYRDC,0.001,0.06159287744967338
201,"3191,42",28,ED_PYK,0.29710268349620417,0.08792923471692063
202,"3191,42",28,EU_DHQS,0.001,0.08792923471692063
203,"3191,42",28,ED_PYRDC,0.001,0.08792923471692063
204,"3191,42",29,ED_PYK,0.3641274708989363,0.10565300677110209
205,"3191,42",29,EU_PGL,0.04937593558644651,0.10565300677110209
206,"3191,42",29,EU_GLUDy,0.011032514649463365,0.10565300677110209
207,"3191,42",30,ED_PYK,0.6034318271647128,0.13538182787207714
208,"3191,42",30,EU_GLUDy,0.41375751252495485,0.13538182787207714
209,"3191,42",30,EU_GND,0.08390264573560094,0.13538182787207714
210,"3191,42",31,ED_PYK,0.3641274709074904,0.10565300677377963
