,count,mean,std,min,25%,50%,75%,max,CV
km_substrate2_ACCOAC,9.0,0.0015369255864575927,0.003158415522402992,4.889210450833546e-05,0.00016286031721022168,0.0002838429897204316,0.000993912607495685,0.009832565357341809,2.0550217591748967
km_product2_ACCOAC,9.0,0.0001414489422928533,0.00023830270497539736,3.0908211147145547e-06,1.4689679246358838e-05,6.110678456426008e-05,0.00014485386057443064,0.0007556716902529347,1.6847259591522417
km_substrate3_ACCOAC,9.0,0.0007313586055402078,0.0014025673419976678,1.3036144353074474e-05,4.557258777830566e-05,0.00024477052411802215,0.00029670433284237856,0.004375729597886712,1.9177559836896716
km_product3_ACCOAC,9.0,0.00042628288649357705,0.0006699160535449658,4.860305745524537e-05,6.324249798853213e-05,0.00011191435344571093,0.0003905420089082384,0.002092363101199908,1.5715293171992248
km_substrate_ACN_a_m,9.0,2.45213927560912e-07,4.156753221118127e-07,7.095698861065041e-10,9.545804265321555e-09,2.0583490715672286e-08,2.0071970672471038e-07,1.0324858250329479e-06,1.6951538040536358
km_product_ACN_a_m,9.0,2.9753783515967522e-09,4.071555881870898e-09,4.489924902967293e-10,9.271640479727758e-10,1.1283422467620138e-09,3.4980458036828838e-09,1.3262435834061969e-08,1.3684161813188822
km_substrate_ACN_b_m,9.0,3.1773436740451764e-09,5.740467916992966e-09,3.663857327170119e-10,4.143250762920469e-10,1.2181196855141726e-09,2.3296594998293066e-09,1.8261148900459608e-08,1.806687757413599
km_product_ACN_b_m,9.0,4.893541231680939e-09,1.130615825742138e-08,3.586025780907752e-10,4.790082646901092e-10,8.035339440718047e-10,1.0964519282679305e-09,3.4850668772667364e-08,2.3104246438601472
km_substrate_ACOAHim,9.0,2.1211447033337814e-05,2.884280943736267e-05,1.0475750237142233e-06,2.908849862757186e-06,7.69246099315297e-06,2.1400467731261927e-05,7.21804455916088e-05,1.3597756622653194
km_product1_ACOAHim,9.0,0.008260787249333924,0.02285536414692654,0.00012960211389936865,0.00015220397254647286,0.0006666952544785135,0.000898180932910085,0.06918424626478012,2.7667295449074047
km_product2_ACOAHim,9.0,0.0001962478399935594,0.00021305415770771807,3.6767427683113037e-06,2.6673567409714354e-05,0.0001219570379846275,0.00040617602850705984,0.0005520514408503416,1.0856382302842684
km_substrate_ACONTa,9.0,0.001550032834289158,0.0015770893381987622,7.411057149398944e-05,0.00048198364920914755,0.000941508453393069,0.0020511487737701235,0.0046031234160602555,1.0174554392081716
km_product_ACONTa,9.0,1.5759107623177303e-05,3.2895084463067626e-05,2.9605689307883778e-08,5.565992244392355e-07,3.51208075410712e-06,1.2158751245012651e-05,0.000101961677807165,2.087369745142677
km_substrate_ACONTb,9.0,0.00010688244656368761,0.0002476732784087291,5.663804008137962e-07,1.2295634673770832e-06,1.2681132918814358e-05,3.1521981228485764e-05,0.0007570289949204653,2.317249336738835
km_product_ACONTb,9.0,0.0002244536586000054,0.0006513385086658491,3.783441702404002e-07,1.2570642501959987e-06,3.3089732687003616e-06,4.55434800220842e-06,0.0019609811723881126,2.901884124894516
km_substrate_ACONTm,9.0,3.994710913561981e-08,4.031624884182435e-08,6.3572299187799885e-09,7.501981460510056e-09,2.8898646989698977e-08,4.3591376154897667e-08,1.1148072112426996e-07,1.0092407113854303
km_product_ACONTm,9.0,1.011195375960141e-09,5.935222136363346e-10,4.4455569322454095e-10,5.551795822782891e-10,6.854553424902124e-10,1.1821027044626927e-09,2.0941858444831806e-09,0.5869510756739555
