,reaction,EC,met,KM_min,KM_max,ratio,KM_model_max,KM_model_min,label
106,ANPRT,2.4.2.18,anth,0.0016,0.0016,1.0,282.1565660506715,0.21149228693530783,ANPRT_anth
107,ANPRT,2.4.2.18,prpp,0.0224,0.0224,1.0,1.1397129178917726,0.0002037017222439177,ANPRT_prpp
108,GUAPRT,2.4.2.8,gua,0.018000000000000002,0.018000000000000002,1.0,0.41989007309296883,0.0005887774758325871,GUAPRT_gua
109,GUAPRT,2.4.2.8,prpp,0.05,0.05,1.0,0.35924526234303067,0.006666373915500011,GUAPRT_prpp
110,DDPAm,2.5.1.54,e4p,0.13,0.5,3.846153846153846,0.0003911677024683513,8.855547406613157e-07,DDPAm_e4p
111,DDPAm,2.5.1.54,pep,0.018000000000000002,0.125,6.944444444444444,1.0613083097100888e-05,3.887992825352095e-07,DDPAm_pep
112,DDPA,2.5.1.54,e4p,0.13,0.5,3.846153846153846,1.0271323762469573,0.017976050977634724,DDPA_e4p
113,DDPA,2.5.1.54,pep,0.018000000000000002,0.125,6.944444444444444,2.952317892274939,0.001282423586751251,DDPA_pep
114,GF6PTA,2.6.1.16,f6p,0.39,2.8,7.179487179487179,115.17218674352048,0.08273304248503512,GF6PTA_f6p
116,ALATA_Lm,2.6.1.2,akg,0.02,0.67,33.5,0.009744726749266974,0.00011739071134351493,ALATA_Lm_akg
119,ALATA_Lm,2.6.1.2,pyr,0.4,16.5,41.25,26.735200179115374,0.018285531484327502,ALATA_Lm_pyr
120,ALATA_L,2.6.1.2,akg,0.02,0.67,33.5,2.448165383500975,0.0042661898712744424,ALATA_L_akg
123,ALATA_L,2.6.1.2,pyr,0.4,16.5,41.25,1120.0753036700055,0.22006327421360541,ALATA_L_pyr
124,AATA,2.6.1.39,2oxoadp,0.12,0.12,1.0,2.071086613957747,0.01360220028919176,AATA_2oxoadp
125,AATA,2.6.1.39,L2aadp,8.8,8.8,1.0,24.531390806763227,0.2614445583320453,AATA_L2aadp
126,AATA,2.6.1.39,akg,3.6,3.6,1.0,1.5716694496434576,0.051527571786081465,AATA_akg
130,PHETA1,2.6.1.39,akg,3.6,3.6,1.0,2.816175457958906,0.004087569969904704,PHETA1_akg
134,TRPTA,2.6.1.39,akg,3.6,3.6,1.0,20.802031476223977,0.10186837982202746,TRPTA_akg
138,TYRTA,2.6.1.39,akg,3.6,3.6,1.0,9.182284946148473,0.004164596679684672,TYRTA_akg
141,AGTi,2.6.1.44,glx,0.18,0.7,3.888888888888889,0.00898724245938522,1.2297214277548976e-05,AGTi_glx
142,HEX1,2.7.1.1,atp,0.1,0.1,1.0,20.30891054785786,0.12278530127168263,HEX1_atp
144,GNK,2.7.1.12,atp,0.2,0.2,1.0,9.904115138089962,0.028749825708720304,GNK_atp
145,GNK,2.7.1.12,glcn,1.74,1.74,1.0,2.446265880138049,0.0010651007740036455,GNK_glcn
