,count,mean,std,min,25%,50%,75%,max,CV
vmax_forward_ACOAHim,9.0,0.2998032609133702,0.6043574896408028,0.007647895839167119,0.02231755328833842,0.028731074064141715,0.1561656017784958,1.853395278127123,2.0158469517629274
vmax_forward_ACONTa,9.0,31.007427377815677,42.97903924276274,3.674802850082363,5.2012634891357505,10.955915788206601,38.77037746377896,132.22703600758666,1.3860885238583893
vmax_forward_ACONTb,9.0,630.7274313920934,1222.56870041988,8.141251496328465,10.591820465597355,29.680294129196017,296.1023245125283,3545.631383353163,1.9383471204376188
vmax_forward_ACONTm,9.0,0.616978560246609,0.587977261602738,0.17236475864104311,0.22228876234522868,0.3860644750234322,0.5346784319643167,1.6727476694349352,0.9529946411228957
vmax_forward_ACOTAim,9.0,6.70843579310167,7.041250848210566,0.23509832015834686,1.502881967836674,3.325473548485573,8.944020971714728,17.95377322620559,1.049611424387654
vmax_forward_ACS,9.0,55269.207066591975,83941.04464644947,1758.0504738853622,7337.0952199082385,23811.317817860378,32265.710289660205,257535.8551201136,1.518766942780847
vmax_forward_ACSm,9.0,61.42288057520641,104.62332166762683,0.4174049406874267,1.35630281823704,1.6635128998915523,69.99119712603546,283.29562939606654,1.703328152113049
vmax_forward_ACTPtex,9.0,16.185933223190702,28.80415073374758,3.083655358243507,3.9023202469001035,5.577698031197517,7.30382514768219,91.68807469834813,1.7795792393655676
vmax_forward_ACtr,9.0,0.017044123552755214,0.024878071796486417,0.003606803856408059,0.0037760170790383687,0.008295606109675549,0.01599335341800238,0.08183839576431105,1.4596275202701654
vmax_forward_ADCS,9.0,0.02899527361758121,0.08348836213259211,3.465615196809017e-05,0.000136787450472075,0.00014645498222275738,0.002355045414627383,0.2515695308751011,2.8793783164015103
vmax_forward_ADK1,9.0,635.8784845519682,501.224692257998,181.6687248999548,254.87095918679353,432.25331089971036,1069.3931102337722,1596.4028119142547,0.7882397414517878
vmax_forward_ADK1m,9.0,4775.6697865885,9431.658607834897,92.73707291689246,253.48238651751674,284.25417837762996,4648.80017214539,28939.997457621826,1.9749394387195274
vmax_forward_ADSL1r,9.0,6.7654696415981075,12.731241652668865,0.20944811167559407,0.5186688062334688,1.2244330516380508,3.3802698666246513,38.7165227967867,1.8817971740482973
vmax_forward_ADSL2r,9.0,6962.9159891202,16112.029868889203,131.01491559028452,142.53533978015838,324.7382062675342,1678.632697385959,49198.99990404177,2.3139773471437564
vmax_forward_ADSS,9.0,727.8950491804243,1664.3257368500833,4.059809330119868,20.25180972973281,88.71533321498525,272.03301077485526,5094.427747941073,2.2864913543841743
vmax_forward_AGTi,9.0,74.33868694129973,166.46730141714798,0.348353158254091,0.6857943414141097,2.1301124135027583,61.32948464584743,510.4979354274337,2.2393091439534847
vmax_forward_AKGCITtm,9.0,206093.16338979913,311048.6501599696,6985.442366156266,10281.032532212414,91660.41195036386,92207.97355424053,883310.8512355327,1.5092623406030234
vmax_forward_AKGDam,9.0,401.57917353469327,596.4731189795275,22.67686962182533,63.72206408785292,94.49360203840783,357.87041031239613,1588.1719946297637,1.4853188568754225
vmax_forward_AKGDbm,9.0,258.0825397580762,494.13934335397414,8.32199272736471,17.635568916465704,40.19917390917338,262.1642006127823,1541.3311398390038,1.9146562329136059
vmax_forward_AKGMAL,9.0,5.0305522557072315,14.527210258238616,0.008175276692280804,0.01790461080444641,0.12754378956129617,0.4142181052099742,43.765959255998,2.887796313368437
vmax_forward_AKGMALtm,9.0,497303723.85049534,1481700714.5114527,122815.84399148672,264402.03745865065,1162350.2868411553,5482297.056540544,4448487822.756548,2.979468368020701
vmax_forward_AKGt,9.0,3.2817685978411467e-10,3.1059437419710506e-10,8.817974838391259e-11,1.5628143501786972e-10,2.5796404195591365e-10,2.897945959554716e-10,1.0989957485734484e-09,0.946423749686142
